"city","population","MCO","lat","lon","District","state","province","country"
"Little Rock",202591,742,34.7465071,-92.2896267,22,"AR","Arkansas","US"
"Texarkana",65580,743,33.4254259,-94.0430937,22,"AR","Arkansas","US"
"Longview",81638,743,32.5007031,-94.74049,22,"TX","Texas","US"
"Tyler",105995,743,32.3512601,-95.3010624,22,"TX","Texas","US"
"Shreveport",187593,743,32.5135356,-93.7477839,22,"LA","Louisiana","US"
"San Marcos",67553,744,29.8826436,-97.9405828,17,"TX","Texas","US"
"New Braunfels",90403,744,29.7028266,-98.1257348,17,"TX","Texas","US"
"San Antonio",1434625,744,29.4246002,-98.4951405,17,"TX","Texas","US"
"Baytown",75418,745,29.7355047,-94.9774274,34,"TX","Texas","US"
"League City",83560,745,29.5074538,-95.0949303,34,"TX","Texas","US"
"Pearland",91000,745,29.5639758,-95.2864299,34,"TX","Texas","US"
"Pasadena",144793,745,29.6910753,-95.2092076,34,"TX","Texas","US"
"Kenner",66592,747,29.9942265,-90.2417806,22,"LA","Louisiana","US"
"Metairie",143507,747,29.9899926,-90.1505426,22,"LA","Louisiana","US"
"New Orleans",383997,747,29.9759983,-90.0782127,22,"LA","Louisiana","US"
"Gulfport",64316,748,30.3674198,-89.0928155,22,"MS","Mississippi","US"
"Jackson",153701,748,32.2998686,-90.1830408,22,"MS","Mississippi","US"
"La Crosse",52680,749,43.8122836,-91.2514355,16,"WI","Wisconsin","US"
"Janesville",63575,749,42.6829765,-89.0226793,16,"WI","Wisconsin","US"
"Rockford",148655,749,42.2713945,-89.093966,16,"IL","Illinois","US"
"Madison",263332,749,43.074761,-89.3837613,16,"WI","Wisconsin","US"
"Waukesha",71158,750,43.0116784,-88.2314813,16,"WI","Wisconsin","US"
"Racine",79592,750,42.7313756,-87.7834769,16,"WI","Wisconsin","US"
"Kenosha",99986,750,42.5846773,-87.8212263,16,"WI","Wisconsin","US"
"Milwaukee",577222,750,43.0386475,-87.9090751,16,"WI","Wisconsin","US"
"Kentwood",54304,751,42.8694731,-85.6447492,7,"MI","Michigan","US"
"Wyoming",76501,751,42.9132581,-85.7057035,7,"MI","Michigan","US"
"Grand Rapids",198917,751,42.9632425,-85.6678639,7,"MI","Michigan","US"
"Taylor",64240,752,42.240872,-83.2696509,7,"MI","Michigan","US"
"Farmington Hills",80937,752,42.4853125,-83.3771553,7,"MI","Michigan","US"
"Livonia",96736,752,42.36837,-83.3527097,7,"MI","Michigan","US"
"Ann Arbor",123851,752,42.2813722,-83.7484616,7,"MI","Michigan","US"
"Palm Harbor",57439,753,28.0780718,-82.7637127,12,"FL","Florida","US"
"Largo",73796,753,27.9094665,-82.7873244,12,"FL","Florida","US"
"Clearwater",107742,753,27.9658533,-82.8001026,12,"FL","Florida","US"
"Saint Petersburg",244324,753,27.7700475,-82.6359078,12,"FL","Florida","US"
"Pontiac",61606,754,42.6389216,-83.2910468,7,"MI","Michigan","US"
"Southfield",72966,754,42.4733689,-83.2218731,7,"MI","Michigan","US"
"Dearborn",92382,754,42.3222599,-83.1763145,7,"MI","Michigan","US"
